ownerUsername,postUrl,timestamp,likesCount,id,text,Sentimento,Pontuacao
patgvc,https://www.instagram.com/p/CmzOf6vv8ts/,2023-01-01T00:49:47.000Z,1,17985844507808502,👏👏👏👏👏😍😍😍,positive,"0,998717"
brunapelegrino1,https://www.instagram.com/p/Cm2AOleNTfS/,2023-01-01T13:25:33.000Z,1,17971996783989965,❤️,positive,"0,970144"
caiosanttos01,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-02T15:24:50.000Z,1,17964926261136384,Eu amo😍😍,positive,"0,998793"
maristela.pessoa,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-02T15:38:22.000Z,1,18312513583073431,Exposições incríveis,positive,"0,945609"
fabio19.arte,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-02T16:00:56.000Z,1,17948016683300664,Lugar excelente e ótimo atendimento de todos os funcionários.,positive,"0,989233"
geolagensoliveira,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-02T16:15:07.000Z,2,17987006914694807,"Já normalizaram os preços pra venda dos produtos da PB, POIS soubemos que tem um cartaz, escrito a mão com lapis piloto. Dizendo que os produtos dos artesaos Paraibanos não se encontram a venda. Falta de respeito por nós artesaos",negative,"-0,921684"
louisi_s,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-02T16:17:14.000Z,1,17963882144130141,Meta pra esse ano!!,positive,"0,290021"
marchetariaportal,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-02T17:48:57.000Z,1,18228645061089426,Eu tenho um artesanato único faço parte do PAB participo de feiras nacionais e nunca tive meu produtos exposto esse ano quem sabe,positive,"0,590874"
crabsebrae,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-02T20:35:54.000Z,1,17990592289729882,"@louisi_s aí sim, te esperamos aqui😍❤️",positive,"0,934315"
crabsebrae,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-02T20:36:16.000Z,1,17938518533431587,@marchetariaportal queremos ver hein😍❤️,positive,"0,988665"
crabsebrae,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-02T20:36:30.000Z,1,17914558709597083,@fabio19.arte obrigado💛✨️,positive,"0,991354"
crabsebrae,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-02T20:36:41.000Z,0,17857621880843207,@caiosanttos01 😍💛✨️,positive,"0,993328"
crabsebrae,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-02T20:36:50.000Z,1,17908972895619691,@maristela.pessoa nós amamos💛✨️,positive,"0,994641"
crabsebrae,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-02T20:37:54.000Z,1,17988883864735715,"Oi @geolagensoliveira  Estamos trabalhando junto com os parceiros realizadores da Mostra ""Paraíba um estado de artesanato"" para encontrarmos a melhor solução para este inconveniente. Em breve, nossa Vitrine CRAB estará ainda mais encantadora com o artesanato da Paraíba!",positive,"0,825038"
isaacmarianno,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-03T03:05:36.000Z,1,17977544266920182,Amo 😍,positive,"0,995744"
bem.feito.ria,https://www.instagram.com/p/Cm6pgGNsRst/,2023-01-03T10:35:48.000Z,1,18032220427431080,"Eu já fui. Além da exposição há lojinha em que produtos podem ser adquiridos com cartão ou Pix.
São lindos !",positive,"0,777696"
